feature,feature_value,shap_contribution,direction
emb_073,0.08840741962194443,-0.020112063735723495,decrease_risk
emb_112,0.0,-0.01960129477083683,decrease_risk
emb_079,0.09532426297664642,0.0194918941706419,increase_risk
emb_071,0.12856876850128174,0.01947493851184845,increase_risk
emb_026,0.0,-0.018732476979494095,decrease_risk
emb_093,0.11938120424747467,-0.018687887117266655,decrease_risk
emb_111,0.08853965252637863,0.017961829900741577,increase_risk
emb_092,0.07512179762125015,-0.01789536513388157,decrease_risk
neighborhood_default_rate_1hop,0.0,-0.017666051164269447,decrease_risk
emb_061,0.0,0.017585551366209984,increase_risk
group_id,3328.0,-0.017254061996936798,decrease_risk
emb_098,0.0,0.01712525077164173,increase_risk
emb_041,0.17560414969921112,0.016851240769028664,increase_risk
messaging_frequency,42.0,0.016489414498209953,increase_risk
emb_025,0.0,0.01596471667289734,increase_risk
emb_066,0.0,0.0158279649913311,increase_risk
emb_033,0.0,-0.015220357105135918,decrease_risk
emb_036,0.0485406219959259,-0.015000640414655209,decrease_risk
emb_049,0.0,-0.012575061991810799,decrease_risk
emb_065,0.007994755171239376,0.012073108926415443,increase_risk
emb_045,0.2705681324005127,-0.012028267607092857,decrease_risk
emb_078,0.0,0.010930296964943409,increase_risk
avg_loan_amount_MXN,2870.84,-0.010448586195707321,decrease_risk
emb_029,0.01601618528366089,-0.01042843982577324,decrease_risk
emb_097,0.10822638869285583,0.010206405073404312,increase_risk
emb_107,0.09650211036205292,-0.010004554875195026,decrease_risk
emb_035,0.0,0.009535360150039196,increase_risk
routine_score,0.4308,-0.00952470675110817,decrease_risk
emb_096,0.17101015150547028,-0.00948281493037939,decrease_risk
emb_103,0.0004796534776687622,0.009220019914209843,increase_risk
emb_027,0.0,0.0089322654530406,increase_risk
emb_074,0.0,-0.008755837567150593,decrease_risk
emb_058,0.0,0.008675470016896725,increase_risk
emb_007,0.0,0.00860676635056734,increase_risk
emb_052,0.0,0.008307255804538727,increase_risk
emb_048,0.12395548820495605,0.008294673636555672,increase_risk
emb_050,0.0004097851924598217,0.0079642990604043,increase_risk
emb_008,0.0,0.00793434213846922,increase_risk
emb_051,0.0,-0.007859527133405209,decrease_risk
emb_063,0.0,-0.007654590532183647,decrease_risk
emb_031,0.14511695504188538,-0.007523193955421448,decrease_risk
emb_006,0.1434437781572342,0.007391065824776888,increase_risk
